cost,dim
0.8982219063735908,freq
0.5864216490093602,freq
0.5019109483156587,freq
0.5554875544770339,freq
0.5806534569317222,freq
0.5486107857586776,freq
0.5845188616516985,freq
0.5225818894321169,freq
0.5590837156080196,freq
0.6109456354502083,freq
0.5665503731993521,freq
0.48900392983236324,freq
0.638718260113344,freq
0.5012941029112026,freq
0.5470944878661548,freq
0.6705501442276962,freq
0.8414437462546727,freq
0.5455832193790794,freq
0.5510612506359052,freq
1.8072997979786611,freq
0.5880836852104311,freq
0.5921957570255504,freq
0.5946624267382746,freq
0.8880151408168729,freq
0.7627594631214184,freq
0.7270925384579477,freq
1.2497277709563492,freq
0.5536274378333248,freq
0.5979051708608369,freq
0.6987766607340893,freq
0.576221900837795,freq
0.5502184592001178,freq
0.6844208783450927,freq
0.5844094369587771,freq
0.6648123416067737,freq
0.8150859133075488,freq
0.5128657982962999,freq
0.7072296140124257,freq
0.6409870408915771,freq
0.6091693543658461,freq
0.5810317076527011,freq
0.6782406936215231,freq
0.7040045940651767,freq
1.158714188012454,freq
0.5694487012225499,freq
0.8167021692496875,freq
0.9833477017302388,freq
0.7350214600329569,freq
0.7238241341149446,freq
0.6424315324973265,freq
0.5886510753792805,freq
1.175054876373124,freq
0.912309946650418,freq
0.5133875822741024,freq
0.5726090325873312,freq
0.49588524678768026,freq
0.811183085718255,freq
1.0817533416470138,freq
0.602852214260414,freq
0.5041185571328918,freq
1.2293556932218204,freq
0.7355220924949074,freq
1.134947520255052,freq
1.0248014147708644,freq
0.5044096016412726,freq
0.6188207421933417,freq
0.5668494728513318,freq
0.542145944316159,freq
0.7128464255346728,freq
0.8218787568745214,freq
0.6642626168342642,freq
0.748258852888183,freq
0.6409031530620823,freq
0.6105572874965686,freq
0.7877299194631673,freq
0.6553392303307417,freq
0.8008305580098762,freq
0.7802564223346572,freq
0.8405805798012772,freq
0.7760773594117829,freq
0.5055586204842406,freq
0.6302791255710233,freq
0.5800641909864452,freq
0.648595750351217,freq
0.8345866023295218,freq
0.9091518309298964,freq
0.5109949209881222,freq
0.4943366021842945,freq
0.5645625116227165,freq
0.6843202991328008,freq
0.5131734836846572,freq
0.5819459819224905,freq
0.6687650141705079,freq
1.1670425167083067,freq
0.9079672352011233,freq
0.6341783921888616,freq
0.514244642140638,freq
0.61644311926583,freq
0.6387617107198064,freq
1.0431032685573312,freq
0.5189915191307976,freq
0.5895928476094335,freq
0.7160773507910162,freq
0.5047472758459542,freq
0.6754183648692943,freq
0.6384187060626509,freq
0.5470462016110226,freq
0.8427870290797072,freq
0.8022382489232385,freq
0.7701702381810497,freq
0.5113399198557105,freq
0.5486560697790612,freq
0.5553593232209662,freq
0.9517731919436313,freq
0.540505100584295,freq
0.5718158937818896,freq
0.5046575255885754,freq
0.578658996322519,freq
0.6930941930340035,freq
0.5307589785855681,freq
0.574616310663101,freq
0.639838589144968,freq
0.5431051127196452,freq
0.9200403694443132,freq
0.6602011777907951,freq
0.5418746606589107,freq
0.5336389598072474,freq
0.522580288609439,freq
0.6233726251843483,freq
1.1862495952583585,freq
0.6236056725207741,freq
0.5653551016077,freq
0.5999376248760897,freq
0.7084821578878158,freq
0.5416660892343805,freq
0.5504529759424889,freq
0.5536880507176486,freq
1.0135363048319865,freq
0.4977961357947907,freq
1.7437175815454447,freq
0.7060718103933298,freq
1.4227504685780616,freq
0.891439386960435,freq
0.5982657026632002,freq
0.7154172500961297,freq
0.5068824046431334,freq
0.9801166575439709,freq
0.5295727767105732,freq
1.3452470041424895,freq
0.565633379382796,freq
1.1736693107041645,freq
0.5261054971826319,freq
0.7163014837459066,freq
0.5768870897105894,freq
0.6228773678200216,freq
0.6747491975630653,freq
0.6766370383028004,freq
1.2633741309522517,freq
0.6127197961300676,freq
1.5651143448409146,freq
0.9055683101864302,freq
0.8867429104847606,freq
0.5195743544653277,freq
0.5607632612462611,freq
0.5631411719981874,freq
0.8779364557205456,freq
1.1973071733894998,freq
0.6046499771856467,freq
0.5449715447309277,freq
0.767998726505537,freq
0.5271508116771375,freq
0.6429876742650736,freq
0.8492776743894619,freq
0.6437020786502028,freq
0.49949793759016436,freq
0.5855378066367293,freq
0.8396102394829135,freq
0.6245142198602036,freq
0.5016078786309398,freq
0.5897028050709895,freq
0.5719400302591596,freq
0.5933645746533175,freq
0.5017020535406608,freq
0.5655303441126184,freq
1.141578427093541,freq
0.7069022076500234,freq
0.5723834235074609,freq
0.7846989728571492,freq
1.857699834369308,freq
0.5787465733565338,freq
0.6065322158366898,freq
0.8276771583058702,freq
0.5947734073614874,freq
0.5225321026081977,freq
0.53766309579552,freq
0.5142635648286593,freq
0.6249381435112855,freq
0.7324690763968033,freq
0.5898213703112897,freq
0.49008054240825155,freq
1.0415939081780743,freq
0.9144010039860666,freq
0.5947946755589579,freq
0.5755545175205459,freq
0.9896749162073568,freq
0.5394145586106669,freq
1.6250633916294739,freq
0.525029441288857,freq
0.6077539621699983,freq
0.5338129153216529,freq
0.8468030293051136,freq
0.5178335894049919,freq
0.6096447055960665,freq
0.9589856034651238,freq
0.5616467511789968,freq
0.5212444317745268,freq
0.5566546589595511,freq
0.5124206408593208,freq
0.9055285549575827,freq
0.8837883847669431,freq
0.7979479836011554,freq
0.5964728140223705,freq
0.5756628815535244,freq
0.5242412267222222,freq
0.9810634678694584,freq
0.9396646429850677,freq
0.7204903968608763,freq
0.8610640159470273,freq
0.5718175155962992,freq
0.94103605481946,freq
0.7417923430836615,freq
0.5890825880659335,freq
0.5659681204981697,freq
0.7393506424002373,freq
1.1735067218913289,freq
1.2311849699935467,freq
0.5279545124412436,freq
1.3299007353081236,freq
0.6271841205671674,freq
1.3299371881190083,freq
0.7688933687513235,freq
