lambda,max_scale,pair,score,length,norm_score
0,1,Turquoise_vs_Yellow,5383.14231961465,135,39.87512829344185
50,1,Turquoise_vs_Yellow,5383.14231961465,135,39.87512829344185
100,1,Turquoise_vs_Yellow,5383.14231961465,135,39.87512829344185
0,1.25,Turquoise_vs_Yellow,5450.053909728364,139,39.20902093329758
50,1.25,Turquoise_vs_Yellow,5450.053909728364,139,39.20902093329758
100,1.25,Turquoise_vs_Yellow,5450.053909728364,139,39.20902093329758
0,1.5,Turquoise_vs_Yellow,5195.895417034891,130,39.968426284883776
50,1.5,Turquoise_vs_Yellow,5195.895417034891,130,39.968426284883776
100,1.5,Turquoise_vs_Yellow,5195.895417034891,130,39.968426284883776
0,1,Turquoise_vs_Pale Blue,3571.0850272028374,90,39.67872252447597
50,1,Turquoise_vs_Pale Blue,3571.0850272028374,90,39.67872252447597
100,1,Turquoise_vs_Pale Blue,3571.0850272028374,90,39.67872252447597
0,1.25,Turquoise_vs_Pale Blue,3327.3253678650567,82,40.57713863250069
50,1.25,Turquoise_vs_Pale Blue,3327.3253678650567,82,40.57713863250069
100,1.25,Turquoise_vs_Pale Blue,3327.3253678650567,82,40.57713863250069
0,1.5,Turquoise_vs_Pale Blue,3437.9053541437183,87,39.51615349590481
50,1.5,Turquoise_vs_Pale Blue,3437.9053541437183,87,39.51615349590481
100,1.5,Turquoise_vs_Pale Blue,3437.9053541437183,87,39.51615349590481
0,1,Turquoise_vs_Green,4557.719087182402,127,35.88755186757797
50,1,Turquoise_vs_Green,4557.719087182402,127,35.88755186757797
100,1,Turquoise_vs_Green,4557.719087182402,127,35.88755186757797
0,1.25,Turquoise_vs_Green,4155.736233452721,122,34.06341174961246
50,1.25,Turquoise_vs_Green,4155.736233452721,122,34.06341174961246
100,1.25,Turquoise_vs_Green,4155.736233452721,122,34.06341174961246
0,1.5,Turquoise_vs_Green,3752.8408058461177,105,35.741341008058264
50,1.5,Turquoise_vs_Green,3752.8408058461177,105,35.741341008058264
100,1.5,Turquoise_vs_Green,3752.8408058461177,105,35.741341008058264
0,1,Turquoise_vs_Dark Pink,3195.963793831816,112,28.5353910163555
50,1,Turquoise_vs_Dark Pink,3195.963793831816,112,28.5353910163555
100,1,Turquoise_vs_Dark Pink,3195.963793831816,112,28.5353910163555
0,1.25,Turquoise_vs_Dark Pink,3377.220022158577,126,26.803333509195056
50,1.25,Turquoise_vs_Dark Pink,3377.220022158577,126,26.803333509195056
100,1.25,Turquoise_vs_Dark Pink,3377.220022158577,126,26.803333509195056
0,1.5,Turquoise_vs_Dark Pink,3397.1193640857346,118,28.78914715326894
50,1.5,Turquoise_vs_Dark Pink,3397.1193640857346,118,28.78914715326894
100,1.5,Turquoise_vs_Dark Pink,3397.1193640857346,118,28.78914715326894
0,1,Turquoise_vs_Orange,4397.689416534407,82,53.63035873822448
50,1,Turquoise_vs_Orange,4397.689416534407,82,53.63035873822448
100,1,Turquoise_vs_Orange,4397.689416534407,82,53.63035873822448
0,1.25,Turquoise_vs_Orange,4397.689416534407,82,53.63035873822448
50,1.25,Turquoise_vs_Orange,4397.689416534407,82,53.63035873822448
100,1.25,Turquoise_vs_Orange,4397.689416534407,82,53.63035873822448
0,1.5,Turquoise_vs_Orange,4397.689416534407,82,53.63035873822448
50,1.5,Turquoise_vs_Orange,4397.689416534407,82,53.63035873822448
100,1.5,Turquoise_vs_Orange,4397.689416534407,82,53.63035873822448
0,1,Turquoise_vs_Pale Green,2923.564014076045,75,38.980853521013934
50,1,Turquoise_vs_Pale Green,2923.564014076045,75,38.980853521013934
100,1,Turquoise_vs_Pale Green,2923.564014076045,75,38.980853521013934
0,1.25,Turquoise_vs_Pale Green,2967.3760493685595,74,40.09967634281837
50,1.25,Turquoise_vs_Pale Green,2967.3760493685595,74,40.09967634281837
100,1.25,Turquoise_vs_Pale Green,2967.3760493685595,74,40.09967634281837
0,1.5,Turquoise_vs_Pale Green,2542.523888076515,56,45.40221228708062
50,1.5,Turquoise_vs_Pale Green,2542.523888076515,56,45.40221228708062
100,1.5,Turquoise_vs_Pale Green,2542.523888076515,56,45.40221228708062
0,1,White_vs_Yellow,10043.71713875397,153,65.64521005721548
50,1,White_vs_Yellow,10043.71713875397,153,65.64521005721548
100,1,White_vs_Yellow,10043.71713875397,153,65.64521005721548
0,1.25,White_vs_Yellow,10043.71713875397,153,65.64521005721548
50,1.25,White_vs_Yellow,10043.71713875397,153,65.64521005721548
100,1.25,White_vs_Yellow,10043.71713875397,153,65.64521005721548
0,1.5,White_vs_Yellow,11678.366617563132,210,55.61126960744348
50,1.5,White_vs_Yellow,11678.366617563132,210,55.61126960744348
100,1.5,White_vs_Yellow,11678.366617563132,210,55.61126960744348
0,1,White_vs_Pale Blue,6770.331087650263,143,47.34497264091093
50,1,White_vs_Pale Blue,6770.331087650263,143,47.34497264091093
100,1,White_vs_Pale Blue,6770.331087650263,143,47.34497264091093
0,1.25,White_vs_Pale Blue,6197.227437088548,94,65.9279514583888
50,1.25,White_vs_Pale Blue,6197.227437088548,94,65.9279514583888
100,1.25,White_vs_Pale Blue,6197.227437088548,94,65.9279514583888
0,1.5,White_vs_Pale Blue,6172.543823213227,95,64.97414550750766
50,1.5,White_vs_Pale Blue,6172.543823213227,95,64.97414550750766
100,1.5,White_vs_Pale Blue,6172.543823213227,95,64.97414550750766
0,1,White_vs_Green,7158.693124918729,98,73.04788902978295
50,1,White_vs_Green,7158.693124918729,98,73.04788902978295
100,1,White_vs_Green,7158.693124918729,98,73.04788902978295
0,1.25,White_vs_Green,7384.015354592655,123,60.03264515928988
50,1.25,White_vs_Green,7384.015354592655,123,60.03264515928988
100,1.25,White_vs_Green,7384.015354592655,123,60.03264515928988
0,1.5,White_vs_Green,7364.787481623057,126,58.45069429859569
50,1.5,White_vs_Green,7364.787481623057,126,58.45069429859569
100,1.5,White_vs_Green,7364.787481623057,126,58.45069429859569
0,1,White_vs_Dark Pink,3293.786313995047,129,25.533227240271682
50,1,White_vs_Dark Pink,3293.786313995047,129,25.533227240271682
100,1,White_vs_Dark Pink,3293.786313995047,129,25.533227240271682
0,1.25,White_vs_Dark Pink,3293.786313995047,129,25.533227240271682
50,1.25,White_vs_Dark Pink,3293.786313995047,129,25.533227240271682
100,1.25,White_vs_Dark Pink,3293.786313995047,129,25.533227240271682
0,1.5,White_vs_Dark Pink,3565.2814987498205,129,27.637841075580003
50,1.5,White_vs_Dark Pink,3565.2814987498205,129,27.637841075580003
100,1.5,White_vs_Dark Pink,3565.2814987498205,129,27.637841075580003
0,1,White_vs_Orange,8889.241561843386,131,67.85680581559836
50,1,White_vs_Orange,8889.241561843386,131,67.85680581559836
100,1,White_vs_Orange,8889.241561843386,131,67.85680581559836
0,1.25,White_vs_Orange,8889.241561843386,131,67.85680581559836
50,1.25,White_vs_Orange,8889.241561843386,131,67.85680581559836
100,1.25,White_vs_Orange,8889.241561843386,131,67.85680581559836
0,1.5,White_vs_Orange,8889.241561843386,131,67.85680581559836
50,1.5,White_vs_Orange,8889.241561843386,131,67.85680581559836
100,1.5,White_vs_Orange,8889.241561843386,131,67.85680581559836
0,1,White_vs_Pale Green,4733.245196025831,86,55.03773483750967
50,1,White_vs_Pale Green,4733.245196025831,86,55.03773483750967
100,1,White_vs_Pale Green,4733.245196025831,86,55.03773483750967
0,1.25,White_vs_Pale Green,4656.327246055726,95,49.01397101111291
50,1.25,White_vs_Pale Green,4656.327246055726,95,49.01397101111291
100,1.25,White_vs_Pale Green,4656.327246055726,95,49.01397101111291
0,1.5,White_vs_Pale Green,4704.873347768701,108,43.563642108969454
50,1.5,White_vs_Pale Green,4704.873347768701,108,43.563642108969454
100,1.5,White_vs_Pale Green,4704.873347768701,108,43.563642108969454
0,1,Yellow_vs_Pale Blue,9080.144283122536,131,69.3140784971186
50,1,Yellow_vs_Pale Blue,9080.144283122536,131,69.3140784971186
100,1,Yellow_vs_Pale Blue,9080.144283122536,131,69.3140784971186
0,1.25,Yellow_vs_Pale Blue,9026.37189286072,130,69.43362994508246
50,1.25,Yellow_vs_Pale Blue,9026.37189286072,130,69.43362994508246
100,1.25,Yellow_vs_Pale Blue,9026.37189286072,130,69.43362994508246
0,1.5,Yellow_vs_Pale Blue,9077.504906756374,128,70.91800708403417
50,1.5,Yellow_vs_Pale Blue,9077.504906756374,128,70.91800708403417
100,1.5,Yellow_vs_Pale Blue,9077.504906756374,128,70.91800708403417
0,1,Yellow_vs_Green,11692.774481111861,140,83.51981772222757
50,1,Yellow_vs_Green,11692.774481111861,140,83.51981772222757
100,1,Yellow_vs_Green,11692.774481111861,140,83.51981772222757
0,1.25,Yellow_vs_Green,11608.282548816185,150,77.38855032544123
50,1.25,Yellow_vs_Green,11608.282548816185,150,77.38855032544123
100,1.25,Yellow_vs_Green,11608.282548816185,150,77.38855032544123
0,1.5,Yellow_vs_Green,11384.34161353583,151,75.39299081811808
50,1.5,Yellow_vs_Green,11384.34161353583,151,75.39299081811808
100,1.5,Yellow_vs_Green,11384.34161353583,151,75.39299081811808
0,1,Yellow_vs_Dark Pink,3059.8419003996605,122,25.080671314751317
50,1,Yellow_vs_Dark Pink,3059.8419003996605,122,25.080671314751317
100,1,Yellow_vs_Dark Pink,3059.8419003996605,122,25.080671314751317
0,1.25,Yellow_vs_Dark Pink,3171.3643093775786,121,26.209622391550237
50,1.25,Yellow_vs_Dark Pink,3171.3643093775786,121,26.209622391550237
100,1.25,Yellow_vs_Dark Pink,3171.3643093775786,121,26.209622391550237
0,1.5,Yellow_vs_Dark Pink,3058.975011996255,123,24.869715544685
50,1.5,Yellow_vs_Dark Pink,3058.975011996255,123,24.869715544685
100,1.5,Yellow_vs_Dark Pink,3058.975011996255,123,24.869715544685
0,1,Yellow_vs_Orange,14879.578430351394,120,123.99648691959494
50,1,Yellow_vs_Orange,14879.578430351394,120,123.99648691959494
100,1,Yellow_vs_Orange,14879.578430351394,120,123.99648691959494
0,1.25,Yellow_vs_Orange,14879.578430351394,120,123.99648691959494
50,1.25,Yellow_vs_Orange,14879.578430351394,120,123.99648691959494
100,1.25,Yellow_vs_Orange,14879.578430351394,120,123.99648691959494
0,1.5,Yellow_vs_Orange,15077.308723816474,151,99.84972664779121
50,1.5,Yellow_vs_Orange,15077.308723816474,151,99.84972664779121
100,1.5,Yellow_vs_Orange,15077.308723816474,151,99.84972664779121
0,1,Yellow_vs_Pale Green,4954.672755636835,105,47.187359577493666
50,1,Yellow_vs_Pale Green,4954.672755636835,105,47.187359577493666
100,1,Yellow_vs_Pale Green,4954.672755636835,105,47.187359577493666
0,1.25,Yellow_vs_Pale Green,4669.639370670788,93,50.21117602871815
50,1.25,Yellow_vs_Pale Green,4669.639370670788,93,50.21117602871815
100,1.25,Yellow_vs_Pale Green,4669.639370670788,93,50.21117602871815
0,1.5,Yellow_vs_Pale Green,4655.74132187377,95,49.00780338814495
