match,mismatch,gap,pair,score,length,norm_score
2,-1,-2,Blue_vs_Pale Green,2148.082710241754,47,45.70388745195221
1,-2,-2,Blue_vs_Pale Green,2114.5922514529047,49,43.15494390720214
2,-2,-2,Blue_vs_Pale Green,2117.0614791895478,49,43.20533630999077
1,-1,-1,Pink_vs_Turquoise,3783.6402894250477,71,53.290708301761235
2,-1,-1,Pink_vs_Turquoise,3899.1605223595193,85,45.872476733641406
1,-2,-1,Pink_vs_Turquoise,4053.4480959481416,100,40.534480959481414
2,-2,-1,Pink_vs_Turquoise,3916.413966454735,89,44.00465130848017
1,-1,-2,Pink_vs_Turquoise,3983.589880639381,64,62.24359188499033
2,-1,-2,Pink_vs_Turquoise,4003.5705535708994,63,63.54873894556983
1,-2,-2,Pink_vs_Turquoise,3842.433139355541,70,54.89190199079344
2,-2,-2,Pink_vs_Turquoise,3773.2237507859995,71,53.14399648994365
1,-1,-1,Pink_vs_White,7686.527207098081,93,82.65083018385033
2,-1,-1,Pink_vs_White,7646.2750987928885,105,72.82166760755132
1,-2,-1,Pink_vs_White,8568.843095095406,124,69.1035733475436
2,-2,-1,Pink_vs_White,8053.267508251211,115,70.02841311522792
1,-1,-2,Pink_vs_White,7266.877233702428,82,88.62045406954181
2,-1,-2,Pink_vs_White,7253.37594551586,81,89.54785117920814
1,-2,-2,Pink_vs_White,7513.432080278463,93,80.78959226105874
2,-2,-2,Pink_vs_White,7633.982902677354,89,85.77508879412757
1,-1,-1,Pink_vs_Yellow,22024.026381137912,157,140.28042280979562
2,-1,-1,Pink_vs_Yellow,23121.528090789343,174,132.88234534936404
1,-2,-1,Pink_vs_Yellow,23312.5552123446,179,130.2377386164503
2,-2,-1,Pink_vs_Yellow,23258.403575948767,178,130.66518862892565
1,-1,-2,Pink_vs_Yellow,21420.387254189212,99,216.36754802211325
2,-1,-2,Pink_vs_Yellow,21567.8626167148,100,215.678626167148
1,-2,-2,Pink_vs_Yellow,22289.873034937842,160,139.3117064683615
2,-2,-2,Pink_vs_Yellow,22383.871279790328,163,137.32436367969527
1,-1,-1,Pink_vs_Pale Blue,6709.1501586373215,89,75.38370964761036
2,-1,-1,Pink_vs_Pale Blue,6657.304913141509,91,73.15719684770889
1,-2,-1,Pink_vs_Pale Blue,6806.728859126465,99,68.75483696087339
2,-2,-1,Pink_vs_Pale Blue,6845.186487136639,99,69.14329784986504
1,-1,-2,Pink_vs_Pale Blue,6433.567804099979,77,83.55282862467506
2,-1,-2,Pink_vs_Pale Blue,6433.738980879717,77,83.55505169973658
1,-2,-2,Pink_vs_Pale Blue,6677.478245088912,88,75.88043460328309
2,-2,-2,Pink_vs_Pale Blue,6634.312222361033,88,75.389911617739
1,-1,-1,Pink_vs_Green,8610.04301194759,97,88.76333002007824
2,-1,-1,Pink_vs_Green,8107.726739426578,90,90.08585266029532
1,-2,-1,Pink_vs_Green,8882.340905559697,118,75.27407547084489
2,-2,-1,Pink_vs_Green,8480.217789969698,101,83.9625523759376
1,-1,-2,Pink_vs_Green,8023.212598756196,70,114.61732283937422
2,-1,-2,Pink_vs_Green,7990.645880801695,75,106.54194507735593
1,-2,-2,Pink_vs_Green,8287.009049589762,87,95.25297758149152
2,-2,-2,Pink_vs_Green,8497.96192837084,97,87.60785493165814
1,-1,-1,Pink_vs_Dark Pink,2368.4365077155358,79,29.9802089584245
2,-1,-1,Pink_vs_Dark Pink,2380.924758871963,82,29.0356677911215
1,-2,-1,Pink_vs_Dark Pink,2424.0484796811393,83,29.20540336965228
2,-2,-1,Pink_vs_Dark Pink,2480.3130689851955,90,27.559034099835507
1,-1,-2,Pink_vs_Dark Pink,2295.3897027892913,71,32.32943243365199
2,-1,-2,Pink_vs_Dark Pink,2332.8587218327234,77,30.296866517308096
1,-2,-2,Pink_vs_Dark Pink,2312.1165539338185,78,29.64251992222844
2,-2,-2,Pink_vs_Dark Pink,2375.2669874946023,79,30.066670727779776
1,-1,-1,Pink_vs_Orange,12949.886711629073,122,106.14661239040224
2,-1,-1,Pink_vs_Orange,12885.654863898822,125,103.08523891119059
1,-2,-1,Pink_vs_Orange,13178.290713784214,143,92.15587911737212
2,-2,-1,Pink_vs_Orange,13166.919915156912,143,92.07636304305532
1,-1,-2,Pink_vs_Orange,12160.340051080098,86,141.39930291953604
2,-1,-2,Pink_vs_Orange,12386.277694964934,91,136.11294170291137
1,-2,-2,Pink_vs_Orange,12295.361308417403,98,125.46287049405514
2,-2,-2,Pink_vs_Orange,12624.601802184403,106,119.10001700173964
1,-1,-1,Pink_vs_Pale Green,3589.749588795845,82,43.77743400970542
2,-1,-1,Pink_vs_Pale Green,3625.162412749227,83,43.67665557529189
1,-2,-1,Pink_vs_Pale Green,3730.8659093867864,90,41.454065659853185
2,-2,-1,Pink_vs_Pale Green,3575.8900919659914,85,42.0692951995999
1,-1,-2,Pink_vs_Pale Green,3542.390809867911,75,47.23187746490548
2,-1,-2,Pink_vs_Pale Green,3525.229695563703,78,45.19525250722696
1,-2,-2,Pink_vs_Pale Green,3620.4124830749333,81,44.69645040833251
2,-2,-2,Pink_vs_Pale Green,3530.8859931555357,83,42.540795098259466
1,-1,-1,Turquoise_vs_White,4729.235965925127,85,55.63807018735444
2,-1,-1,Turquoise_vs_White,4905.8480062270255,93,52.75105383039812
1,-2,-1,Turquoise_vs_White,5418.030208963111,115,47.11330616489662
2,-2,-1,Turquoise_vs_White,5100.910117038038,108,47.23064923183369
1,-1,-2,Turquoise_vs_White,4706.400234037179,74,63.60000316266458
2,-1,-2,Turquoise_vs_White,4829.894801533198,74,65.26884866936754
1,-2,-2,Turquoise_vs_White,4863.16797536773,82,59.306926528874754
2,-2,-2,Turquoise_vs_White,4825.028306070621,84,57.440813167507386
1,-1,-1,Turquoise_vs_Yellow,5291.0258626593795,105,50.3907225015179
2,-1,-1,Turquoise_vs_Yellow,5380.517034322532,117,45.987325079679756
1,-2,-1,Turquoise_vs_Yellow,5713.005763474574,140,40.80718402481839
2,-2,-1,Turquoise_vs_Yellow,5667.195557225882,139,40.77119105917901
1,-1,-2,Turquoise_vs_Yellow,4980.428850816308,90,55.33809834240343
2,-1,-2,Turquoise_vs_Yellow,5035.567547218,96,52.45382861685417
1,-2,-2,Turquoise_vs_Yellow,5249.644598809554,107,49.0620990542949
2,-2,-2,Turquoise_vs_Yellow,5284.479212341222,108,48.93036307723354
1,-1,-1,Turquoise_vs_Pale Blue,2916.948671842799,57,51.174538102505245
2,-1,-1,Turquoise_vs_Pale Blue,3083.569082726681,54,57.1031311616052
1,-2,-1,Turquoise_vs_Pale Blue,3067.1059564446014,79,38.82412603094432
2,-2,-1,Turquoise_vs_Pale Blue,3086.720712490283,68,45.39295165426887
1,-1,-2,Turquoise_vs_Pale Blue,2751.5871652072015,48,57.324732608483366
2,-1,-2,Turquoise_vs_Pale Blue,2824.697836917399,48,58.847871602445814
1,-2,-2,Turquoise_vs_Pale Blue,2989.704256016096,57,52.450951859931514
2,-2,-2,Turquoise_vs_Pale Blue,2914.71331424095,57,51.1353213024728
1,-1,-1,Turquoise_vs_Green,3155.2436236982185,69,45.72816845939447
